hero1,value
LIGHT,71
LIGHTMASTER/EDWARD L,25
LIGHTNING FIST,2
LIGHTNINGBOLT II/RAN,11
LIGHTSPEED/JULIE POW,413
LILANDRA NERAMANI [S,818
LILITH II,47
LILITH/ANGEL O'HARA/,27
"LILLIAN, BEA",1
"LIN, MEI",8
"LIN, PAULA",6
"LINCOLN, WILLIAM WIL",10
LINK,52
LIONMANE/GEN. LO CHI,13
"LIPSCOMB, DR. ANGELA",31
"LIPTON, LAURA",19
"LIPTON, TRENTON III",7
"LITTLE, ABNER",22
"LITTLETREE, LINDA",19
"LITTLEWING, SUSIE",13
LIVEWIRE/RANCE PREST,59
LIVING ERASER,4
LIVING LASER/ARTHUR ,62
LIVING LIGHTNING/MIG,897
LIVING MONOLITH/AHME,109
LIVING MUMMY,111
LIVING TRIBUNAL,146
LIZARD II,7
LIZARD/DR. CURTIS CO,415
LLAN,40
LLYRA/LLYRA MORRIS,125
LLYRON,81
"LO, JIMMY",5
LOBLOLLY/,21
LOBO,30
LOBO II,4
LOBO III,7
"LOBO, CARLOS",35
"LOBO, EDUARDO",108
"LOBO, LUCKY",6
LOCKDOWN,8
"LOCKE, DR. ALEXANDER",43
"LOCKE, DR. CASSANDRA",54
"LOCKER, MR.",19
LOCKHEED,807
LOCKHEED | MUTANT X-,6
LOCKJAW [INHUMAN],747
"LOCKLIN, BEN",35
"LOCKLIN, GENERAL MER",80
LOCOMOTIVE BREATH/LA,11
LOCUS,40
LOCUST,4
LODESTONE/ANDREA,86
LOGA,6
LOGA II,76
"LOGAN, WAYNE",7
LOGOS,12
"LOHAN, PETER",21
LOKI [ASGARDIAN],1226
"LOMENZO, NICOLE",26
LONGARM/,1
"LONGBOW, DESIREE",5
LONGBOW/AMELIA GREER,17
LONGSHOT,508
LONKARR,8
LOOP,21
"LOOPNER, LEXINGTON",2
LOOTER/NORTON G. FES,62
"LOPEZ, ANGELA",5
"LOPEZ, ANTONIO",5
"LOPEZ, DONNA",2
"LOPEZ, JOSE",9
"LOPEZ, MARIA",6
"LOPEZ, MARIA II",4
"LOPEZ, SALMA",3
"LOR, KONA",23
LORD BALDAR,23
LORD CHAOS,155
LORD GASPAR,19
LORD KARNAJ,7
LORD LEADER,5
LORD OF LIGHT/BOWEN,4
LORD TEMPLAR/,30
LORD YARU,1
LORELEI,50
LORELEI II/MELODI [A,209
LORVEX,7
LOVE,54
"LOVECCHIO, ARGUS",7
"LOVEJOY, FRANKLIN",5
"LOWELL, DR.",12
"LU, MR.",14
"LUBENSKI, NATE",341
"LUBOWSKI, LUGWRENCH",7
"LUCAS, JAMES",8
"LUCAS, JAMES JR.",10
LUCIFER,19
LUCIFER II,3
"LUCIFER, REV.",9
LUDI,1
"LUDLUM, ROSS",13
LULLABY/FELICITY HOP,2
LUMINOR,35
"LUMLEY, JUDY",12
LUMP,37
"LUMPKIN, WILHEMINA B",39
"LUMPKIN, WILLIAM WIL",179
"LUMPKIN, WILLIE | TI",2
LUNA/LUNA MAXIMOFF [,300
LUNATIK/ARISEN TYRK,49
LUPE,12
LUPO,101
LURKING UNKNOWN,9
LYJA LAZERFIST [SKRU,622
LYLLA,11
"LYNN, NORMA",19
"LYNNE, MONICA",143
"LYTH'KA, COMMANDER",4
M,313
M'DAKA,36
M'KAMBA,3
M'KUMBA,14
M'REEL,25
M'SHULLA,78
M-80/SAYURI KYOTO,4
M-PLATE,37
MAA-GOR,24
MACE,7
"MACENDALE, JASON JR.",3
"MACENDALE, KAREN",5
MACHETE/FERDINAND LO,44
MACHINE MAN/X-51,431
"MACINTOSH, ANN",41
"MACKAY, AILSA",1
"MACKENZIE, AL",102
"MACKENZIE, DR. NEIL",4
"MACLAIN, DR. MYRON",26
"MACON, ANGELO",117
"MACRAE, TRUTH",9
"MACTAGGART, JOE",13
"MACTAGGART, MOIRA | ",11
"MACTAGGERT, MOIRA KI",1318
MAD DOG/COLONEL BUZZ,258
MADAME HYDRA VI,51
MADAME MASQUE II/,19
MADAME MASQUE III,103
MADAME MASQUE IV,6
MADAME MASQUE V,8
MADAME MASQUE VI,3
MADAME MASQUE/GIULIE,197
MADAME MENACE/SUNSET,41
MADAME QWA,39
MADAME ROSE,8
MADAME SLAY,2
MADAME WEB/CASSANDRA,58
MADCAP,61
"MADDEN, CHET",31
"MADDICKS, ARTHUR ART",569
"MADDICKS, NADINE",1
"MADDICKS, PROFESSOR ",18
"MADISON, TAYLOR",37
MADMAN/PHIL STERNS,10
"MADSDEN, TREVOR",5
MAELEN,34
MAELSTROM/MALCOLM ST,146
MAESTRO,3
MAGDALENE/MARISSA DA,174
MAGGOTT/JAPHETH,190
MAGIC,56
MAGIK/ILLYANA RASPUT,869
MAGMA II/JONATHAN DA,7
MAGMA/AMARA AQUILLA/,605
MAGNESIUM,18
MAGNETO | MUTANT X-V,145
MAGNETO/MAGNUS/ERIC ,1613
MAGNIR,45
MAGNOR,4
"MAGNUM, MOSES",30
MAGNUS,65
MAGOG,9
MAGOG II,8
"MAGRUDER, ALLIE",48
MAGUIRE,35
MAGUS,466
MAGUS II,76
MAHA YOGI,33
MAHKIZMO,13
"MAHONEY, GINNY",3
MAINFRAME II,28
MAINFRAME/IAN WAJLER,11
MAINSPRING,20
"MAJCOMB, RENEE",23
MAJESTON ZELIA,46
MAJOR DOMO,90
MAJOR LOVE,2
MAJOR MAPLELEAF/LOUI,9
MAJOR VICTORY/MAJ. V,12
"MAJOWSKI, SAM MOTHER",79
MAKKARI/MIKE KHARY/I,591
MAKO,25
MALACHI,19
MALAN Sometimes spel,34
MALEKITH/MALCOLM KEI,79
MALEVOLENCE,7
MALICE,10
MALICE II,4
MALICE III,45
MALICE IV,122
MALICE V/NAKIA,109
"MALONE, JULIUS",8
MALOVICK/,12
"MALPHER, KATHY",49
MALPRACTICE,4
MALTESE,40
MALTZ,12
"MALUS, DR. KARL",49
MAM'SELLE HEPZIBAH,332
MAN-APE/M'BAKU,115
MAN-BEAST,204
MAN-BULL/BULL TAURUS,13
MAN-KILLER/KATRINA L,180
MAN-MOUNTAIN MARKO,33
MAN-OF-WAR,5
MAN-SPIDER CLONE | M,1
MAN-SPIDER | MUTANT ,41
MAN-THING/THEODORE T,225
MANACLE/,12
MANAT,17
MANBOT/BERNIE LACHEN,164
MANDARIN,301
"MANDARIN, JAMES",16
MANDRILL/HENSLEY FAR,56
"MANELLI, DINO",48
MANGLER/,9
MANGOG,101
"MANH, COY LEONG XUI",46
"MANH, COY NGA",57
"MANH, COY TRANH",10
MANIKIN/DR. WHITMAN ,130
MANIPULATOR II,4
MANIPULATOR/,16
MANITOU,13
"MANN, DR. J. VERNON ",37
"MANNING, DR.",5
"MANNING, ERIKA",1
"MANNING, JANICE",6
"MANOLIS, LT. NICK",51
MANSLAUGHTER,41
MANTA,24
MANTIS (SPACE PHANTO,55
MANTIS/? BRANDT,369
"MANTLO, BILL",1
"MANTONE, JORGE",5
MANX,1
MARAUD,26
MARAUDER,15
MARAUDER II,1
"MARCEAUX, BELIZE",7
"MARCEAUX, THEOREN",28
MARCHALLA,3
MARCHALLA II,1
MARGOYLE,50
MARIK,8
MARILLA [INHUMAN],100
"MARIN, DR.",12
MARIONETTE/MARI,27
MARISSA (OF GENE-TEC,9
MARISTA,1
MARITA,15
MARKED MAN,1
"MARKO, KURT",14
"MARKS, DR. SHIELA",1
"MARLES, DR. THOMAS",16
"MARLEY, MITCH MADMAN",10
"MARLOPOLIS, EDGAR",1
"MARLOWE, STEVE",7
"MARLOWE, STEVE JR.",9
"MARRERO, ED",47
MARRINA/MARRINA SMAL,199
MARROW/SARAH ,505
"MARRS(-PAYNE), PHOEB",137
"MARRS, DESMOND",90
"MARSHALL, GRANT",9
"MARTELL, SHIELD AGEN",11
MARTHA,71
"MARTIN, ASHLEY",70
"MARTIN, TERI",114
"MARTINELLI, VINCENT ",67
MARTINEX,25
"MARTINEZ, AKASHA",8
"MARTINEZ, ALITHA",10
"MARTINEZ, CARMELLO",10
"MARTINEZ, ISADORA",29
"MARTINEZ, LINETTE",15
"MARTINEZ, MR.",6
"MARTINEZ, MRS.",2
MARTINS,5
"MARTS, MR.",15
MARVEL BOY III/ROBER,17
MARVEL BOY VI,42
MARVEL BOY VIII/NOH-,5
MARVEL BOY/MARTIN BU,7
MARVEL GIRL DOPPELGA,41
MARVEL GIRL II/VALER,75
MARVEL GIRL/JEAN GRE,3667
MARVEL WOMAN | MUTAN,91
MARX,41
"MARX, DR.",4
MASKED MARAUDER/FRAN,21
"MASON, JOHN",5
"MASON, LOUISE",115
"MASON, WANDA",16
MASQUE,211
MASTER ELO,3
MASTER FOUR,3
MASTER KHAN/TYRONE K,76
MASTER LINK/WILLIS H,17
MASTER MAN II/ALEXAN,3
MASTER MAN/WILHELM L,95
MASTER MENACE/DR. EM,51
MASTER MOLD,32
MASTER MOLD II,261
MASTER MOLD III,3
MASTER MONARCH/,7
MASTER OM,11
MASTER ORDER,158
MASTER PANDEMONIUM/M,48
MASTER PROGRAMMER,41
MASTER TWELVE,5
MASTER ZEI,18
MASTER/ESHU,199
MASTERMIND II/BOWERS,2
MASTERMIND III,24
MASTERMIND IV/MARTIN,15
MASTERMIND V,9
MASTERMIND/JASON WYN,199
"MASTERS, ALICIA REIS",908
"MASTERS, DR. AUGUST",39
"MASTERSON, KEVIN",229
"MASTIFF, MINNIE",1
MASTON-DAR,1
MATADOR/MANUEL ELOGA,6
MATHEMANIC/THOMAS SO,79
MAULER/BRENDAN DOYLE,6
MAUVIUS,5
MAVERICK/CHRISTOPHER,65
MAX,2
MAX II,18
"MAXIMOFF, DJANGO",62
MAXIMUS [INHUMAN],410
MAXOV,29
"MAXWELL, DR. WILFRED",56
"MAXWELL, MORRIS",37
MAXXAM,4
"MAYE, APRIL",18
MAYHEM/DET. BRIGID O,97
"MCBRIDE, BEATRICE",5
"MCBRIDE, MARTHA",6
"MCCABE, LINDSAY",121
"MCCABE, NINA",23
"MCCALL, MEREDITH | T",4
"MCCAMBRIDGE, MEGAN",5
"MCCORMICK, BARRY",4
"MCCORMICK, FIONA",1
"MCCOURT, ALLISON",32
"MCCOY, EDNA ANDREWS",48
"MCCOY, NORTON",43
"MCCULLOUGH, DR. ANDR",8
"MCDONNELL, OSCAR",9
"MCDOWELL, SCOTTY",31
"MCELROY, JAMES",14
"MCGIVENEY, BULL",7
"MCGRILL, MARY",28
"MCHELE, JEREMY",15
"MCKEEVER, TINY",95
"MCKENNA-DRAKE, MARLE",10
"MCKENZIE, LEONARD",17
"MCKENZIE, LYDIA",39
"MCKENZIE, SCARLETT",16
"MCKNIGHT, BOB",4
"MCLAREN, MEGAN",165
MCLEISH,4
"MCMURRAY, YVONNE",5
"MCPHAIL, NATALIE",6
"MCPHEE, LOUIE",8
"MCPHERSON, LING",46
"MCSHANE, PATRICK",1
"MEACHUM, HAROLD",10
"MEACHUM, JOY",85
"MEACHUM, WARD",78
"MEAGHER, TYLER",4
MEANY,120
MEATMARKET,17
MECHADOOM,22
MECHAMAGE/,61
MEDEA,32
"MEDINA, ANALISA MARI",51
MEDUSA II,1
MEDUSA | MUTANT X-VE,4
MEDUSA/MEDUSALITH AM,1158
MEEK,22
"MEER, MAX",8
MEGATAK,19
MEGGAN,747
MEGGAN 2013,2
"MELLACE, LUCY SANTIN",20
"MELLACE, TONY",8
MELLENCAMP,51
MELONIE,1
MELTER II/BRUNO HORG,6
MELTER/BRUNO HORGAN,174
"MELTON, LORRIE",23
MEMBRAIN/,29
MEME,6
"MENDELSON, DR. MACK",12
MENDICUS,19
"MENDOSA, EMILIO",5
"MENGOCHAUZERAUS, GRI",11
"MENGOCHAUZERAUS, STA",4
"MENKEN, DONALD L.",15
"MENNINGER, CLARA",32
MENTALLO,96
MENTOR II,100
MENTOR/ALARS [ETERNA,178
MENTUS,8
MEPHISITOID,10
MEPHISTA,22
MEPHISTO,541
"MERCADO, JOY",286
MERCURY,18
MERCURY II,20
MERCURY III/,18
MERCY,3
"MERENGUES, SMOOTH MA",3
"MERIDIAN, DR. ROBERT",6
MERLIN,35
MERLYN,4
MERRIAN,14
"MERRYWEATHER, IRENE",146
MESMERO,115
"MESSENGER, TOBIAS",41
METABO,7
METALSLASH/,11
METEORITE,84
METEORITE III/VALERI,69
METOXO,6
MEXXA RIEN,24
MIBA,7
"MICAWBER, TRISTRAM",2
"MICHAELS, DAWN",2
"MICHEL, RAFE",49
MICHELLE,7
"MICO, RODOLFO",11
MICROCHIP/LINUS LIEB,187
MICROMAX/SCOTT WRIGH,90
MIDAS,43
MIDGARD SERPENT,10
MIDGET,38
MIDNIGHT III/JEFFREY,73
MIDNIGHT'S FIRE/,42
MIDNIGHT/M'NAI,30
MIDWIFE,4
"MIFUNE, DR.",8
MIKHLO,120
MILAN,59
MILLENNIUM MONARCH,6
"MILLER, CHRIS",26
"MILLER, FRANK",38
"MILLER, STACI MURPHY",19
"MILLER, TRACE",8
MIMIC/CALVIN RANKIN,132
MIND'S EYE/MEACHAM,11
MINDBLAST,45
MINDMELD/,1
MINDSINGER/GREGOR,32
MINDSTORM/,3
MINDWAVE,12
MINDWORM/WILLIAM TUR,1
MINERVA [KREE],62
MINI MAX/,2
MINISTER BLOOD,30
MINISTER TOME,21
MINOR DOMO,10
MINOTAUR,8
MINOTAUR II,3
MINOTAUR III,3
MINOTAURUS,1
MINSTER HOARD,13
MINT JULEP,19
MINXI [INHUMAN],7
MIRACLE MAN,31
MIRAGE,77
MIRAGE II/DANIELLE M,1093
MIRAGE III/MARGE,9
MISFIT/,51
MISS AMERICA/MADELIN,1527
MISS ITCH/BLISS,17
MISS LOCKE,91
MISS MASS/,62
MISS SACCHARINE,4
MISS THING/MARY,4
MISSING LINK,16
MISSING LINK II/RAY ,12
MIST,2
MIST MISTRESS,15
MISTER CLEAN,4
MISTER HYDE/CALVIN Z,214
MISTY/VINCENTE,3
MO,8
MO MONEY,15
MOBIUS,1
"MOBIUS, DR.",13
MOCKINGBIRD/DR. BARB,957
MODAM,83
MODEM/,1
"MODINE, REP. BERNARD",2
MODOK/GEORGE TARLETO,161
MODRED THE MYSTIC,83
MODULAR MAN/STEPHEN ,3
MOJO,107
MOJO II,22
MOK,11
MOLE,16
MOLE MAN | MUTANT X-,14
MOLE MAN/HARVEY RUPE,324
MOLECULE MAN/OWEN RE,310
MOLGOTHA,5
"MOLLE, DR.",10
MOLTEN MAN/MARK RAXT,60
MOLTO,13
MONDO,11
MONDO II,86
MONGOOSE,82
"MONGRAIN, ALISON",75
MONGU,2
MONMOUTH,32
MONOCLE,16
MONSTER FROM THE LOS,9
MONSTROID/BALIOX/7NH,4
MONTANA,56
MONTANA II,2
MONTENEGRO,4
"MONTESI, VICTORIA",25
MONTGOMERY,47
"MONTGOMERY, SIR BERN",1
"MONTOYA, JULIO",18
"MONTOYA, MARIA",17
"MOODY, RUNYAN",7
"MOOMJI, INDRIES",26
MOON KNIGHT DOPPELGA,108
MOON KNIGHT/MARC SPE,767
MOON WOLF/,5
MOONBOY,39
MOONDANCER,22
MOONDARK,8
MOONDRAGON DOPPELGAN,18
MOONDRAGON/HEATHER D,1503
MOONGLOW/,33
MOONHUNTER/ZACK MOON,117
MOONRAKER/SLADE TRUM,65
MOONSTALKER/KIANA,65
MOONSTOMP/,11
MOONSTONE II/KARLA S,676
MOONSTONE/LLOYD BLOC,61
"MOORE, CONNIE",18
"MOORE, TONI",2
MOOT,1
"MORAN, KEVIN",14
MORBIUS/DR. MICHAEL ,153
"MORDO, ASTRID",4
MORDRED THE EVIL,94
"MOREAU, DAVID",71
"MOREAU, PHILLIP",137
"MORELLE, NOLAN",20
MORG,54
MORGAN,82
"MORGAN, DR. VIVIAN",23
"MORGAN, JERROLD JERR",68
"MORLAK, MARIS",41
MORLEY,11
MORLUN,6
MORNING STAR/ZVEZDA ,18
MORPH,12
MORPHEUS/ROBERT MARK,20
"MORRELL, SABRINA",73
"MORRISON, AMANDA PAY",15
"MORRISON, JESSICA",15
MOSES,3
MOSH/GLENN,2
"MOSLEY, WARDEN",3
MOTH/,1
MOTHER INFERIOR,53
MOTHER NIGHT/SUSAN S,115
MOTHER OF PEARL/,8
MOTHER SUPERIOR,73
MOTHER-OF-PAIN,9
MOUNTJOY,43
MOURNING PREY,3
MOUSE,17
"MOWAT, FARLEY",102
"MOY, ALYSSA",111
MR. DEATH,5
MR. DOLL/NATHAN DOLL,9
MR. FANTASTIC DOPPEL,320
MR. FANTASTIC/REED R,4788
MR. FEAR III/PROF. L,37
MR. FEAR V/,4
MR. FEAR/ZOLTAN DRAG,6
MR. FX/,3
MR. IMMORTAL,75
MR. JIP,79
MR. JUSTICE/TIMOTHY ,79
MR. LUCK II/PHILIP G,13
MR. LUCK/RAMON GARCI,3
MR. MOBIUS,8
MR. NACHT,82
MR. PAYBACK/,17
MR. SCRATCH,6
MR. SCRATCH II/BLISS,8
MR. SINISTER | AOA,2
MR. SINISTER | MUTAN,14
MR. SINISTER/NATHAN ,334
MR. TERMINEUS/AMODEU,21
MR. X,5
MROTH,83
MS. FORTUNE/,3
MS. MARVEL II/SHARON,491
MS. NOVA,2
"MUELLER, AMANDA",11
"MUGGINS, MAMIE",159
"MULDOON, SGT. BRIAN",56
"MULDOON, TEXAS JACK",9
"MULLANY, MIKE",4
MULTIPLE MAN DOPPELG,99
MULTIPLE MAN/JAMES A,679
"MUMM, MAX",1
"MUNDY, SHANE",9
MUNIN,43
MUNIPOOR,1
"MUNOZ, CARLOS",2
"MUNROE, DAVID",14
"MUNROE, N'DARE",17
MUNSON,8
MURDER,15
"MURDOCK, BATTLING JA",8
"MURDOCK, MATT | TIME",7
"MURDOCK, SISTER MAGG",42
MURMUR II/ARLETTE TR,166
MURMUR/,1
"MURPHY, JOBOA",8
"MURPHY, MELISSA",12
"MURPHY, SEAN",3
"MURRAY, WILLIAM T. B",1
MUSE/SHANNON FITZPAT,17
MUSTANG/,8
MUTANT MASTER,19
MUTAURUS,24
"MUTO, JUNZO",34
MYCROFT,2
"MYLZOB'RYN, CHIEF",7
MYSTERIA/,67
MYSTERIO II/DANIEL B,46
MYSTERIO/QUENTIN BEC,214
MYSTERIUM/DR. JOSEPH,8
MYSTIQUE | MUTANT X-,28
MYSTIQUE/RAVEN DARKH,799
N'ASTIRH,109
N'DELE,22
N'GAMI,25
N'GAMO,8
N'GASSI,6
"NACHT, HERR",11
NAGA,2
NAGALA,4
"NAGAN, DR. ARTHUR",58
NAHREES [INHUMAN],38
NAILS II/JOANIE EATO,3
NAILS/,6
"NAIP, SYNTHIA",4
NAKKA,32
NAKOTA,26
"NALES, DET. REBECCA ",88
NAMELESS ONE,2
NAMELESS ONE II,5
NAMORA/AQUARIA NAUTI,28
NAMORITA DOPPELGANGE,124
NAMORITA | MUTANT X-,10
NAMORITA/NITA PRENTI,1447
NANABOZHO,5
NANNY,22
NANNY II,49
"NAPIER, RAMONA DR.",16
NARDI,41
"NASH, JOHN JOHNNY TH",4
"NASH, SABRINA",8
NAUDA,21
NAUTILUS,4
NAVARRO,2
NAZE,46
NEBULA,167
NEBULO,38
NEBULON,76
NECRODAMUS,36
NECROM,30
NECROMANCER/DR. STEP,5
NEDDA,15
NEEDLE,40
NEFFETHESK,19
NEIFI [INHUMAN],41
"NEKOBAH, ROMAN",24
NEKRA/ADRIENNE HATRO,84
NELIT,4
"NELSON, CANDACE",59
"NELSON, DEBBIE HARRI",141
"NELSON, FRANKLIN FOG",1044
NEMESIS,68
NEOPHYTE/,52
NEPHRI,6
NEPTUNE [OLYMPIAN],18
NEPTUNIUM,25
NEREEL,54
NESTOR,14
NETWORK NINA,120
NEUT,19
NEUTRON,45
"NEVILLE, KATE",152
NEW SUN,35
"NEWELL, DIANE ARLISS",92
"NEWMARK, LOTUS",70
NEZARR,93
NHU'ABDAR,17
"NICHOLS, LORNA",1
"NICHOLS, TOM",7
NICKEL,4
NICODEMUS,1
NICODEMUS II,9
NIELS,66
NIGHT,29
NIGHT FLYER,7
NIGHT PHANTOM II,2
NIGHT RIDER,26
NIGHT RIDER III/HAMI,49
NIGHT THRASHER/DUANE,673
NIGHTCRAWLER 2013,5
NIGHTCRAWLER | MUTAN,74
NIGHTCRAWLER/KURT WA,3084
NIGHTEYES/ERIC,3
NIGHTFIGHTER/,2
NIGHTHAWK II/KYLE RI,625
NIGHTHAWK III/NEAL,13
NIGHTHAWK/KYLE RICHM,202
NIGHTINGALE/,26
NIGHTMARE/EDVARD HAB,162
NIGHTSHADE/TILDA,149
NIGHTSIDE,58
NIGHTSTICK/,21
NIGHTWATCH/,13
NIGHTWIND/,9
NIKKI/NICHOLETTE GOL,39
"NILES, SEN. CATHERIN",2
NIMROD III,13
NINA,52
NINGAL,8
NINJA/,23
NIRA,4
"NITAL, DR.",7
NITRO/ROBERT L. HUNT,64
"NIVENA, JOANNA",13
"NIXON, RICHARD",21
NOBILUS,72
NOBLE,4
"NOCENTI, ANN",27
NOCTURNE II/ANGELA C,6
NOCTURNE/,15
NOM,42
NOMAD II/EDWARD FERB,2
NOMAD III/JACK MONRO,393
"NORRISS, JACK",152
"NORRISS, SISTER BARB",959
"NORTH, DAKOTA",56
"NORTH, RICKY",6
NORTHSTAR DOPPELGANG,43
NORTHSTAR | MUTANT X,9
NORTHSTAR/JEAN-PAUL ,957
NOSFERATA/PURPLE HAY,1
NOTE,10
NOVA 0:0,2
NOVA DOPPELGANGER,68
NOVA DOPPELGANGER II,55
NOVA II | MUTANT X-V,14
NOVA II/FRANKIE RAYE,546
NOVA III/FRANKIE RAY,10
NOVA OMEGA/GARTHAN S,37
NOVA | MUTANT X-VERS,41
NOVA-PRIME,26
NOVA/RICHARD RIDER,1578
NOX,13
NOY,21
NUADA,20
NUGENT,15
"NUGENT, ALICE",18
NUKE,30
NUKLO/ROBERT FRANK J,104
NULLITRON,5
NUMBER NINE,35
NUMBERS,93
NUNTOO,7
NURIL,6
NURO,48
NUTT,2
NUWA,2
"NYLES, JENNIFER",20
NZAGA,4
"O'BREEN, GLORIANNA",85
"O'BRIEN, MICHAEL",421
"O'BRYAN, BOB",33
"O'CONNELL, TARYN",62
"O'CONNOR, A.C. ACE",11
O'DONNELL,34
"O'DONNELL, EAMON",7
"O'HARA, GERALD",3
"O'HARA, ROBERT IRONG",40
"O'HOOLIHAN, SERGIUS",9
"O'KEEFE, CHANDRA",16
"O'MEARA, KATHLEEN",9
"O'NEIL, BRIDGET",7
"O'NEILL, DET. BRADY",69
OBLITERATOR [ELDER],6
OBLIVION,45
OCCULT,96
OCCULUS,16
"OCULUS, LT.",24
ODDBALL/ELTON HEALEY,40
ODIN [ASGARDIAN],1667
"OGADA, DR.",9
OGRE,87
OGRE II,6
OGRESS/,30
OGUN,33
OGUR,9
OJANI,17
OKOYE,94
"OLAFSON, ERIC",4
OLALLA,7
OLAR,15
OLD SKULL,80
OLD WOMAN,14
OLIVIER,7
"OLLSEN, BO",7
"OLSEN, JIMMY",13
"OLSON, MRS.",39
OMEGA,18
OMEGA II,22
OMEGA RED/ARKADY ROS,118
OMEGA-20/EUGENE,36
OMNIBUS/LT. DALLAS,78
OMORO,21
ONE ABOVE ALL [CELES,127
ONEG,54
ONSLAUGHT,19
ONSLAUGHT II,191
OPSIDIAN/,13
ORACLE/LADY SIBYL,164
ORB,27
ORBIT,15
ORIGIN/PHYLLIS TWOMB,11
ORIKAL,30
ORINI,19
ORKA,150
ORPHAN,4
ORPHAN II/GUY SMITH,1
ORPHAN-MAKER/PETER,38
ORWELL,6
OSAMA,34
"OSBORN, EMILY",6
"OSBORN, HARRY",826
"OSBORN, LIZ ALLAN",764
"OSBORN, NORMAN",5
"OSBORN, NORMIE",332
OSHIMA,22
OSHTUR,12
OSIRIS,39
"OSNICK, OLLIE",5
OSWALD,2
OTHER,17
OTHER II,5
OTOMO,1
OUIJA/,16
OUTLAW/NIGEL HIGGINS,16
OUTRIDER II/MARTIN Z,1
OUTRIDER/OCLIN UWIR ,16
OVERBOSS DIXON,35
OVERMIND/GROM,103
OVERRIDE/DR. GREGORY,48
OVERRIDER/,21
OWAYODATA,6
OWL/LELAND OWLSLEY,83
OX,46
OX II/DR. KARL STRAG,4
OX III,32
OX IV,15
OXBOW/,79
"OXNARD, PHIL",8
"OXTON, PROFESSOR HEN",30
OZYMANDIAS,113
P,6
P'KAR,14
"P'KRRD, CAPTAIN",3
"PACE, MICHAEL",7
"PACKER, ARTIE",7
PAGAN,38
"PAGE, KAREN",487
PAI,13
"PAIBOK, CAPT. [SKRUL",116
PAIN,5
PAINTER/WILHELM VON ,11
PALADIN/PAUL DENNIS,307
"PALERMO, HARRIET ROS",93
"PALERMO, VICTOR",91
"PALMIOTTI, JIMMY",14
PANDEMONIA,26
PANTHER CUB/,6
PAPA GRANITE,9
PAPA HAGG,19
PAPA NEBO,2
PARADIGM,22
PARADOX,4
PARADOX II,9
"PARADY, CAPT. RONALD",6
PARALYZER,112
"PARETSKY, DR. GARY",161
"PARETTI, TONY",2
PARIS,101
"PARK, ARCHIE",24
"PARKER, BEN",37
"PARKER, HORACE",3
"PARKER, MARY",23
"PARKER, MARY (ROBOT)",36
"PARKER, MAY",1599
"PARKER, MAY II",21
"PARKER, MAY III",9
"PARKER, MAY | TIMESL",20
"PARKER, PETER | TIME",23
"PARKER, RICHARD",26
"PARKER, RICHARD (ROB",34
"PARKS, JOE",6
"PARKS, JUDITH",3
"PARRISH, MAX",9
PARSON/,3
"PARSONS, DR. DEREK",18
"PARTRIDGE, STEVE",28
PAST MASTER/PROFESSO,1
PATCH II,7
PATCHWORK/KYLE BARKE,8
PATHWAY/LAURA DEAN,242
"PATILIO, MARIE",5
"PATRICK, KERRY",31
PATRIOT/JEFF MACE,2791
"PATTERSON, JACK",6
"PATTON, JESS",6
PAVANE,1
PAVANE II,4
PAYBACK/,1
"PAYGE, REEVA",3
"PAYNE, EDWARD",1
"PAYNE, MICHAEL",4
PEACEKEEPER/JOSHUA,20
PEACEMONGER/,1
PEARLA,11
"PEARSON, AUBREY",7
"PEARSON, MARCY",91
PEATOR,237
PECOS BILL,5
PELE II,11
PELE/MICHI SASAKI,9
PELIALI,8
"PELTINO, LT.",2
PEMBROKE,32
PENANCE III,49
PENANCE/MONET ST. CR,398
"PENDRAGON, ARTHUR",6
"PENNINGTON, AUDRA",9
PENNSU,3
"PENNYWORTH, J.C.",54
PENTIGAAR,34
"PEREGRINE, LE/FRANCK",115
"PEREZ, DET. CECILIA",8
"PEREZ, GEORGE",44
PERRIKUS,38
PERSEPHONE,13
PERSUASION/KARA KILL,299
PERUN,70
PESTER,30
PESTILENCE | MUTANT ,8
PESTILENCE/CAPT. F.R,45
PET,1
"PETERS, NIGEL",3
"PETERS, SHANA TOC",2
"PETRIE, JUDGE RICHAR",1
"PETROVITCH, DMITRI",6
"PETROVITCH, IVAN",159
"PEYER, DANNY",4
PHAE-DOR,12
PHANTAZIA/,45
PHANTOM,4
PHANTOM EAGLE,4
PHANTOM RIDER II/HAM,13
PHARAOH KHAFRE,2
PHARAOH RAMA-TUT,691
PHASTOS [ETERNAL],79
PHAT/BILLY BOB REILL,7
PHEMOUS,8
"PHILIPS, PHILIP",4
"PHILLIPS, HANDSOME H",9
"PHILLIPS, SIR GORDON",17
"PHIM, FATHER",20
PHINEAS,19
PHOBIUS,59
PHOENIX 2013,9
PHOENIX II,353
PHOENIX III/RACHEL S,847
PHOSPHORUS,39
PICARO/FELIPE,9
PICO,28
PIECEMEAL/GILBERT BE,59
"PIERCE, ALEXANDER GO",201
"PIERCE, DONALD",218
PIERSO [TRIONIAN],11
"PIERSON, FRED",7
PIGSKIN/,7
"PIKE, FRISCO",2
PILEDRIVER,1
PILEDRIVER II/BRIAN ,404
PILGRIM,27
PILGRIMM,3
"PILLMAN, JIM",2
PINK PEARL/,74
