hero1,value
BLACK BRIGADE,30
BLACK CAT/FELICIA HA,563
BLACK CRANE/,10
BLACK CROW/JESSE BLA,46
BLACK DEATH/DR. IVAN,2
BLACK FOX II/,23
BLACK FOX/ROBERT W. ,97
BLACK GOLIATH/DR. WI,253
BLACK HOLE/MORTON KI,8
BLACK KING/SEBASTIAN,399
BLACK KNIGHT II/SIR ,22
BLACK KNIGHT III/EOB,21
BLACK KNIGHT IV DOPP,35
BLACK KNIGHT IV/PROF,110
BLACK KNIGHT V DOPPE,9
BLACK KNIGHT V STATU,92
BLACK KNIGHT V/DANE ,1889
BLACK KNIGHT VI/PROF,5
BLACK KNIGHT/SIR PER,80
BLACK LAMA,14
BLACK MAMBA/TANYA SE,248
BLACK MARIAH,3
BLACK MARVEL/DAN LYO,7
BLACK MORAY,5
BLACK MOUNTAIN/KUROY,1
BLACK PANTHER | MUTA,26
BLACK PANTHER/T'CHAL,1803
BLACK RAAZER/,18
BLACK RACER/,74
BLACK RAZER,2
BLACK SPECTRE/CARSON,18
BLACK TALON II/SAMUE,50
BLACK TALON/DESMOND ,2
BLACK TARANTULA II/C,78
BLACK TARANTULA/LAMU,7
BLACK TOM CASSIDY,180
BLACK WIDOW DOPPELGA,49
BLACK WIDOW II/YELEN,19
BLACK WIDOW | MUTANT,28
BLACK WIDOW/NATASHA ,2656
"BLACK, CAL",2
"BLACK, CYRUS",8
"BLACK, RACHEL",13
BLACKBALL,39
BLACKBIRD/,24
BLACKBODY,22
BLACKHEART,17
BLACKJACK/,21
BLACKOUT II/,53
BLACKOUT/MARCUS DANI,69
"BLACKSHEAR, JONAS",15
BLACKWELL,7
BLACKWING II/,21
BLACKWING/JOSEPH MAN,142
"BLACKWOOD, JENNY",5
BLACKWULF,15
BLADE,88
"BLAIR, CALEY",3
"BLAIRE, CARTER",75
"BLAKE, BECKY",118
"BLAKE, DR. DONALD",19
"BLAKE, DR. DONALD (C",56
"BLAKE, EMILY",1
"BLAKE, KENT",1
"BLANDING, ANDREW",1
"BLANDING, MRS.",3
BLAQUESMITH,212
BLASTAAR,95
BLASTING CAP/,8
"BLAZE, CRAIG",14
"BLAZE, EMMA",15
"BLAZE, ROXANNE SIMPS",87
BLAZING SKULL/MARK T,16
"BLESSING, MORGANA",108
BLIND AL/ALTHEA,48
BLINDSIDE II/BOBBI C,13
"BLINK/FERGUSON, CLAR",15
BLISS,9
"BLISS, BONNIE",7
BLITZIANA,120
BLITZKRIEG/,131
BLIZZARD II/DONALD G,66
BLIZZARD/PROF. GREGO,39
BLOB/FRED J. DUKES,785
BLOCKADE/DEXTER PARI,31
BLOCKBUSTER III/MICH,91
BLOCKBUSTER/,8
BLOK,6
BLOKE/MICKEY TORK,4
BLOOD BROTHERS,24
BLOOD SPIDER/,5
BLOOD WRAITH/SEAN DO,43
BLOOD-TIDE,2
BLOODAXE/JACKIE LUKU,216
BLOODHOUND/,8
BLOODLUST,84
BLOODSCREAM,51
BLOODSHED/WYNDELL DI,2
BLOODSTONE/ULYSSES B,45
BLOODSTORM | MUTANT ,199
BLOODSTRIKE/ERIC CON,28
"BLOODVESSEL, BUSTA",4
BLOODWING [SHI'AR],5
BLOODWRAITH/SEAN DOL,30
BLOODY BESS,26
BLOODY MARY,1
"BLOTT, BRIGADIER INK",36
BLOWTORCH/,1
BLUDGEON/,21
BLUE BULLET/PROF. JO,7
BLUE DIAMOND/PROFESS,65
BLUE SHIELD/JOSEPH J,36
BLUE STREAK/,20
BLUNT,30
BLUR,1
BLURRY,48
BOAK,9
BOBCAT/,24
BODYBAG,69
"BOERKE, MAYOR",19
BOGATYR/MIKULA GOLUB,4
"BOGGS, MORDECAI P.",33
BOLERO/,13
BOLT II/CHRIS BRADLE,187
"BOLT, COUNCILMAN AND",23
BOLT/LAWRENCE EVANS,11
BOMBADIER/,8
BOMBLAST/,26
BOMBSHELL/,154
BONEBREAKER/,151
BONES/ELIZABETH BLIS,15
BONITA,6
BOOBYTRAP/,26
BOOKWORM/NELSON GRUB,1
BOOMER/TABITHA SMITH,1290
BOOMERANG/FRED MYERS,181
BOOMSLANG/,137
BOONE,44
BORA,20
BORAKU,4
BORROB,7
"BORROUGHS, CHARLES C",26
"BOSCO, ELAINE",10
BOSHLOVOR,9
"BOUDREAUX, BELLA DON",107
BOULDER/,7
BOUNCER,10
BOUNTY,14
BOUNTY II,52
BOVA,230
"BOWDEN, DENNIS",10
"BOWEN, FATHER MICHAE",79
"BOWMAN, MAJ.",9
BOX II/JERRY JAXXON,6
BOX IV/MADISON JEFFR,500
BOX/ROGER BOCHS,171
"BOYD, TWO-FISTED TOM",9
"BRADDOCK, ELIZABETH",2
"BRADDOCK, JAMES",9
"BRADDOCK, JAMES JR. ",27
"BRADDOCK, JOHN",7
"BRADLEY, CARRIE",40
"BRADLEY, HANK",3
BRAHAMS,7
BRAHMANES,4
BRAIN CELL/,3
BRAIN DRAIN/WERNER S,79
BRAINCHILD,120
BRAINSTORM/,3
BRAINY,21
"BRAITHWAITE, JUDGE R",6
BRAMER,30
"BRANDEIS, CAMMY",7
"BRANDEIS, LIZ PARRIS",1
"BRANDEIS, PROF. HENR",4
"BRANDT, ELLEN",40
BRANNEX,4
"BRANNEX, ALLESSANDRO",10
BRANSON,18
BRASS BISHOP/,6
BRASS/SEAN WATANABE,14
"BRAWN, HUNTER",15
"BRAWN, TRISTAN",46
BREAKER/RAAK,8
BREEGAN,5
BRES,10
"BREWER, AMY",11
"BREWER, DR. MELINDA",5
"BRICKFORD, CLAY",22
"BRICKMAN, GLORIA",8
"BRICKMAN, SEN. MILES",45
"BRIDGE, GEORGE WASHI",302
"BRIGGS, AGENT",7
"BRIGGS, AGENT STEPHA",32
BRIGHTSWORD/CARTER D,112
BRIGHTWIND,179
BRIQUETTE/,18
BROADSIDE,21
"BROGIN, BULL",3
BROKEN MAN,2
BROKER,5
BROMINE,10
"BROMWELL, DR.",74
BRONA,24
"BROOKS, ANNA",16
BROOP,5
BROTHER AXE,4
BROTHER CAESAR,2
BROTHER ROYAL,3
BROTHER STEPHEN,1
BROTHER TODE,35
BROTHER VIRGIL,8
BROTHER VOODOO | MUT,18
BROTHER VOODOO/DANIE,185
BROTHER WONDERFUL/DR,7
BROTHERS GRIMM,8
BROTHERS GRIMM II/BA,95
"BROWN, ABE",104
"BROWN, FRANK",13
"BROWN, LAURA",77
"BROWN, MINDY MCPHERS",61
BROWSER,4
"BRUKNER, DR. FRANK",4
"BRUKNER, ILANEY",14
BRUNNHILDE/MCM-XLI (,10
BRUNO,1
BRUTACUS,57
BRUTE II/,21
BRUTE | MUTANT X-VER,188
BRUTE/REED RICHARDS ,43
BRUTO THE STRONGMAN/,52
BRUTUS,28
BRUTUS II,37
BRUTUS KLOR,16
"BRYCE, ARCHER",16
"BUCHANAN, SAM",5
"BUCHETTO, SALVATORE ",9
"BUCHOVITZ, STANLEY &",5
"BUCKMAN, EDWARD",1
"BUCKNER, GRANT",8
BUCKY II/FRED DAVIS,63
BUCKY VI/,69
BUCKY VII/RIKKI BARN,71
BUCKY/BUCKY BARNES,510
BUEL,7
BUG,58
"BUKOWSKI, BUCK",5
BULLDOZER/HENRY CAMP,502
BULLET,40
BULLET BIKER,20
BULLSEYE,2
BULLSEYE II/BENJAMIN,102
BULLSEYE | MUTANT X-,1
BULWARK/,2
BUMPKIN,5
"BUMPO, MR.",7
"BUNYAN, PAUL",21
"BURGOS, CARL",2
BURKE,19
"BURKE, GWYNETH",10
"BURKE, JACK",19
"BURKE, JOB",10
"BURKE, RICKY",1
"BURKE, THERESA TRACY",20
"BURLEY, MIKE",44
"BURLINGAME, CALVIN",3
BURNING PUDDLE,10
"BURR, CLAYTON",19
"BURRTHROP, T. BARTON",8
BURST/,1
"BUSH, GEORGE",41
"BUSHKIN, BARNEY",75
"BUSHMAN, RAOUL",30
BUSHMASTER II/QUINCY,161
BUSHMASTER/JOHN MCIV,25
BUSHWACKER/CARL,42
"BUSIEK, KURT",5
BUTCH,90
BUTTERFLY,20
BUTTONS,15
BUX,29
BUZZ,104
BUZZARD,6
"BYRD, NATHANIEL ALEX",61
"BYRD, SEN. HARRINGTO",75
BYREL,1
"BYRNE, JOHN",28
"BYRNES, GAYLE WATSON",38
"BYRNES, TIM",27
BYRRAH [ATLANTEAN],79
BYRRAH | HEROES REBO,6
C.F.,13
"CABE, BETHANY",182
CABER,53
CACHE,19
"CACHES, FABIAN",1
"CACHES, PROF. MARINA",23
CACTUS,2
CADMIUM,21
CADUCEUS,65
CAESAR,15
"CAESAR, JONATHAN",50
"CAESAR, JULIUS",1
"CAGE, LUKE/CARL LUCA",1063
"CAGLIOSTRO, ALESSAND",8
"CAIRN, DET.",4
CALCULUS/JAHAHAREL P,78
"CALDERONE, HANNAH",12
"CALDRONE, JAVIER",39
CALEDONIA/ALISANDE S,99
CALIBAN/,526
CALIFORNIUM,10
"CALKIN, SUSAN",3
"CALLAGHAN, JAMES",8
"CALLAHAN, MIKE",3
CALLISTO,279
CALLISTO | MUTANT X-,1
CALYPSO,34
"CAMBRIDGE, MOXIE",2
"CAMPBELL, DR. RORY",147
"CAMPBELL, MEREDITH",24
CANCER II/,3
CANCER/JACK KLEVENO,69
CANDLEMAS/,11
"CANDLER, OWEN",7
CANDRA,34
CANDY,96
CANE/,18
CANNONBALL II/SAM GU,2152
CANNONBALL/JACK PULV,161
CANNONBALL/SAM GUTHR,17
"CANTOR, VERA",150
CAPRICORN II/,5
CAPRICORN/WILLARD WE,79
CAPTAIN AMERICA,8149
CAPTAIN AMERICA DOPP,104
CAPTAIN AMERICA IV/S,32
CAPTAIN AMERICA V/RO,39
CAPTAIN AMERICA | MU,116
CAPTAIN BARRACUDA,9
CAPTAIN BRITAIN/BRIA,948
CAPTAIN GLORY,3
CAPTAIN HAWK,118
CAPTAIN HIP/FRED MAC,30
CAPTAIN MANHATTAN,8
CAPTAIN MARVEL II/MO,1395
CAPTAIN MARVEL III/G,201
CAPTAIN MARVEL/CAPTA,464
CAPTAIN POWER/DR. CH,5
CAPTAIN RECTITUDE,9
CAPTAIN TERROR/DAN K,6
CAPTAIN U.K./LINDA M,23
CAPTAIN ULTRA/GRIFFI,29
CAPTAIN UNIVERSE/STE,4
CAPTAIN WINGS/,10
"CAPUTO, DR. JULIA",15
CARBON,17
"CARBONE, JULIUS",7
"CARBONE, ROSALIE",24
"CARBONE, SALVATORE",13
"CARDENAS, PACO",5
CARDIAC/DR. ELI WIRT,59
CARDINAL/CLEMDENON,75
"CARDINALE, CARLOS",5
CAREGIVER/RUBANNA LA,17
CARETAKER,8
CARGIL/JOANNA CARGIL,264
CARGO,4
CARINA/CARINA WALTER,86
"CARLISLE, JENNA",1
"CARLISLE, MELISSA BO",26
"CARLISLE, PHILLIP",78
"CARLTON, JAKE",5
"CARLTON, LUCY",8
CARLY,7
"CARMODY, MARY",18
"CARMODY, MRS.",1
CARNAGE/CLETUS KASAD,100
CARNIVORE/COUNT ANDR,54
"CARPATHIAN, ANDREW",7
"CARPENTER, LARRY",45
"CARPENTER, RACHEL",141
"CARR, DAN",1
"CARRADINE, JESSICA J",89
"CARRERA, MIA",13
CARRION,21
CARRION II/MALCOLM M,29
CARRION III/DR. WILL,1
"CARSON, LT. PAUL",44
"CARTER, BRAD",9
"CARTER, JIMMY",40
"CARTER, PEGGY",452
"CARTER, SHARON",507
"CARTER, SHARON II",5
"CARTER, TAD",20
CARTHUS,47
CARVER,1
"CASE, COL. PRESTON",39
"CASIOLENA, QUEEN",7
CASPER,11
"CASS, LARRY MAD DOG",20
"CASSADA, CARLOS",36
"CASSADA, MICHAEL",40
"CASSADA, ROBERTO",37
"CASSADA, ROSA",45
CASSANDRA,16
CASSIOPEIA,44
CAT BURGLAR,8
CAT II,8
CAT III/SHEN KUEI,64
CAT IV,3
CAT KING,6
CAT MAN III/,17
CAT MAN/HORGAN,37
CATAPHRAX,31
CATHERWOOD,7
CATHODE/,12
CATSEYE/SHARON SMITH,119
CATWALK/KIMBERLY DEE,15
"CEAUSECU, IONEL",11
"CELLANOS, MARCELLA",4
CENTARIUS,25
CENTURIUS,1
CENTURY,146
"CENTURY, TURNER D.",7
"CERA, KAY",25
CERANDA,18
CERBERUS,39
CERBERUS II,8
CEREBRITE ALPHA,24
CEREBRITE BETA,22
CEREBRO,29
CEREBRO MARK XIII | ,6
CEREBRO | MUTANT-X V,31
CERISE,25
CERISE II [SHI'AR],212
CESIUM,31
CETHLANN,15
CH'OD,391
CH'THON,25
CH'VAYRE,16
"CHADWICK, CHEER",17
"CHADWICK, DR. HESPER",20
CHAIN,28
CHAINSAW/,31
CHAKA KHAN,17
CHAKA KHAN II,7
"CHAKARA, KANU",7
"CHAKARA, MADAN",2
CHAKRA,45
CHAKRA II,1
"CHALIZ, HAZRAM",16
"CHALIZ, SHANAZ RAYNA",15
"CHALIZ, TABRIAZ",10
"CHALKER, PROF. VIC",37
"CHALMER, JUDGE",17
"CHALMERS, CYNTHIA",2
"CHALMERS, JUDGE ROBE",44
"CHALMERS, MR.",8
CHAMBER/JONOTHON STA,523
"CHAMBERS, MR.",49
CHAMBLISS,2
CHAMELEON/DMITRI SME,178
"CHAMPION, IMUS",15
CHAMPION/TRYCO SLATT,65
"CHAN, SARAH",8
CHANCE,55
CHANCE II/NICHOLAS P,33
"CHANDLER, PEGGY",25
"CHANDRA, DR.",19
"CHANEY, AMANDA",67
"CHANG, DR. PHILLIP",75
"CHANG, IMEI",134
CHANGELING,66
CHAOS/DANIEL DASH,5
"CHAPMAN, DEVIN",15
"CHAPMAN, GEN. ULYSSE",6
CHAR,27
"CHAR, BRON",7
CHARCOAL/CHARLIE BUR,357
CHARLIE,8
CHARLIE 27,26
CHARM,94
